Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Date added / updated,Logo Image,Target locations hide,Regions,Regions 2,Sector,Units (min),Units (max),Contact,Phone,Website,email,Recent planning application,Application 1 - Link to planning application,Application 1 - LPA of the application,Application 1 - no. of dwellings,Applicattion 1 - Date,Contact linkedin,Link to recent planning applications
6a Vision Homes,6a-vision-homes,63c82b7a254c065170a9ee94,66604dcafe83709612638263,Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcafe83709612638258_65e9a2ff2dbd91496622d045_658179e02144d45074e3f445_64946857fd4173503365420d_6a%25252520Vision%25252520Homes%25252520logo.jpeg,,South East,south-east,Residential,5,15,James Allen (Director),,https://www.6avision.co.uk/land-owners-investors/,info@6avision.co.uk,false,,,,,,
A.C. Lloyd Homes,a-c-lloyd-homes,63c82b7a254c065170a9ee94,66604dca155b1f7297741590,Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dca155b1f729774155e_65e9a2ffd66f21e51ecea608_658179e082d0273366d1479c_64946857fd417350336541fa_A.C.%25252520Lloyd%25252520Homes%25252520Logo.png,Warwick,Midlands,midlands,Residential,100,500,Mark Edwards (Director),01926 458938,https://aclloyd.com/requirements/,medwards@aclloyd.com,false,,,,,https://www.linkedin.com/in/mark-edwards-91a41b167/,https://www.planninglist.co.uk/sectors/residential?*=A.C.+Lloyd+Homes
A & J Stephen,a-j-stephen,63c82b7a254c065170a9ee94,66604dcac4cb3b1e98493a27,Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcac4cb3b1e98493a1b_65e9a2ffd27bba43162b1b53_658179e02144d45074e3f44b_64946857fd417350336541f6_A%25252520%25252526%25252520J%25252520Stephen%25252520logo.jpeg,,Scotland,scotland,Residential,5,15,Jamie Finlay (Development Director),,https://stephen.co.uk/about/land-required/,land@stephen.co.uk,false,,,,,https://www.linkedin.com/in/jamie-finlay-770b6a1b/,https://www.planninglist.co.uk/sectors/residential?*=A+%26+J+Stephen
A2Dominion,a2dominion,63c82b7a254c065170a9ee94,66604dca217c0b26b9d70345,Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dca217c0b26b9d7032f_65e9a2ff7da0aa57683af4ec_658179e0699282b25e734720_64946857fd417350336541f4_A2Dominion%25252520logo.jpeg,,"London, South East",london; south-east,Residential,50,1000,Samuel Macdonald (Strategic Land Manager),,https://www.a2dominiongroup.co.uk/business-services/land-and-development,Samuel.Macdonald@a2dominion.co.uk,false,,,,,https://www.linkedin.com/in/samuel-macdonald-95264330/,https://www.planninglist.co.uk/sectors/residential?*=A2+Dominion
Abimara,abimara,63c82b7a254c065170a9ee94,66604dca4b4acfb080c813aa,Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dca4b4acfb080c813a0_65e9a2ffce7c7d70ade0b3a4_658179e0d24d7e8627153233_64946857fd417350336541f0_Abimara%25252520Logo.png,,South East,south-east,Residential,5,25,Dan Knight (Director),,https://abimara.com/about/,info@abimara.com,false,,,,,https://www.linkedin.com/in/daniel-knight-648ba7169/,https://www.planninglist.co.uk/sectors/residential?*=Abimara
Abri Group,abri-group,63c82b7a254c065170a9ee94,66604dca59a73e4a6ce1b3e3,Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:42 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dca59a73e4a6ce1b3c3_65e9a2ff84a9081953e1c3c2_658179e022f8c5cabeea3bc3_64b68d4e6bbdd08b765b7306_Screenshot%252525202023-07-18%25252520at%2525252014.02.03.png,,South East; South West,south-east; south-west,,50,500,Sam Stone (Director of Land),,https://www.abri.co.uk/services/development/opportunities-and-land,sam.stone@abri.co.uk,true,https://publicaccess.rbwm.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RU2QOPNI0PG00,Windsor,413,Thu May 04 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/sam-stone-ab0aa32a/,https://www.planninglist.co.uk/sectors/residential?*=Abri+Group
Acis Group,acis-group,63c82b7a254c065170a9ee94,66604dccc4cb3b1e98493c34,Wed Jun 05 2024 11:36:44 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:44 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dccc4cb3b1e98493c27_65e9a2ff39c2ad2307a7fc43_658179e191e45d0bbaddcc2c_64946857fd417350336541f5_Acis%25252520Group%25252520logo.png,,Midlands,midlands,Residential,10,150,Greg Bacon (MD),,https://www.acisgroup.co.uk/development/,Greg.Bacon@acisgroup.co.uk,false,,,,,https://www.linkedin.com/in/greg-bacon-8a947382/,https://www.planninglist.co.uk/sectors/residential?*=Acis+Group
AcLand Homes,acland-homes,63c82b7a254c065170a9ee94,66604dcd44bd973790a92198,Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcd44bd973790a92183_65e9a2ffe4afc92bd7b91ab4_658179e16dd9ffc5d4c21a4e_64946857fd417350336541f2_AcLand%25252520Homes%25252520Logo.jpeg,,North East,north-east,Residential,5,25,Stephen Litherland (Managing Director),,https://www.aclandhomes.co.uk/,stephen.litherland@aclandhomes.co.uk,false,,,,,https://www.linkedin.com/in/stephen-litherland-5574391a/,https://www.planninglist.co.uk/sectors/residential?*=AcLand+Homes
Acland Homes,acland-homes-9,63c82b7a254c065170a9ee94,66604dcde36d4ce7f3563845,Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Mon Dec 02 2024 15:12:41 GMT+0000 (Coordinated Universal Time),Tue Dec 03 2024 10:51:09 GMT+0000 (Coordinated Universal Time),Mon Dec 02 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/62fa4715b9938694d2e61778/66604dcde36d4ce7f356383f_65e9a300c5ce4448eace8508_658179e12dc33aef774e4dcc_64946857fd417350336541f1_Acland%25252520Homes%25252520Logo%25252520(1).jpeg,,North East,north-east,Residential,10,50,Stephen Litherland (MD),,https://www.aclandhomes.co.uk/about-us/,stephen.litherland@aclandhomes.co.uk,true,,,,,,
Acorn Property Group,acorn-group,63c82b7a254c065170a9ee94,66604dcd1a208fbbff6d0f53,Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcd1a208fbbff6d0f45_65e9a3005eafbc8c3440a144_658179e1ae55375385eff4c1_64946857fd41735033654214_Acorn%25252520Group%25252520logo.jpeg,,"London, Midlands, North East, North West, Scotland, South East, South West, Wales",london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Residential,10,50,Mike Ware (Senior Acquistions),,https://www.acornpropertygroup.org/land-partnerships/land-wanted/#contus,mikew@acornpg.org,false,,,,,https://www.linkedin.com/in/mike-ware-46668086/,https://www.planninglist.co.uk/sectors/residential?*=Acorn+Property+Group
